,date,time_interval,open,high,low,close,volume
1,2022-10-07,20:00:00,99.51,99.56,99.34,99.56,7653
2,2022-10-07,19:00:00,99.61,99.61,99.53,99.56,11064
3,2022-10-07,18:00:00,99.67,99.67,99.56,99.61,1716
4,2022-10-07,17:00:00,99.57,99.89,99.55,99.68,935372
5,2022-10-07,16:00:00,99.83,100.1,99.21,99.65,5395728
6,2022-10-07,15:00:00,99.49,99.86,99.27,99.83,1978926
7,2022-10-07,14:00:00,99.89,100.03,99.43,99.49,1707319
8,2022-10-07,13:00:00,100.25,100.365,99.74,99.9,1758421
9,2022-10-07,12:00:00,100.76,101.09,100.06,100.25,2156099
10,2022-10-07,11:00:00,100.02,100.955,99.77,100.77,3733016
11,2022-10-07,10:00:00,100.8,101.42,99.87,100.02,2972775
12,2022-10-07,09:00:00,102.15,102.5298,100.25,100.8,178514
13,2022-10-07,08:00:00,102.0,102.35,101.96,102.11,14473
14,2022-10-07,07:00:00,102.0,102.09,101.85,101.86,1947
15,2022-10-07,06:00:00,101.98,102.2,101.94,102.2,2372
16,2022-10-07,05:00:00,101.99,101.99,101.63,101.74,3176
17,2022-10-06,20:00:00,101.95,102.27,101.9,101.9,17972
18,2022-10-06,19:00:00,101.95,102.17,101.95,102.02,16566
19,2022-10-06,18:00:00,102.1,102.18,101.9,102.02,14304
20,2022-10-06,17:00:00,102.24,102.3,102.0,102.17,295074
21,2022-10-06,16:00:00,102.41,102.73,102.08,102.25,2685700
22,2022-10-06,15:00:00,103.06,103.08,102.1825,102.43,1244182
23,2022-10-06,14:00:00,103.015,103.11,102.62,103.06,1324283
24,2022-10-06,13:00:00,102.8,103.22,102.56,103.0108,1262241
25,2022-10-06,12:00:00,103.35,103.54,102.79,102.81,2210850
26,2022-10-06,11:00:00,102.35,103.3529,101.72,103.35,3303442
27,2022-10-06,10:00:00,101.9,103.73,101.24,102.34,3355390
28,2022-10-06,09:00:00,101.34,102.37,101.3107,101.9933,46759
29,2022-10-06,08:00:00,101.34,101.62,101.34,101.62,6269
30,2022-10-06,07:00:00,101.4,101.45,101.21,101.33,4228
31,2022-10-06,06:00:00,101.58,101.72,101.4,101.4,4435
32,2022-10-06,05:00:00,102.22,102.22,101.52,101.56,3366
33,2022-10-05,20:00:00,102.36,103.0,102.3,102.78,10641
34,2022-10-05,19:00:00,101.98,102.39,101.9,102.39,10735
35,2022-10-05,18:00:00,102.0,102.0,101.91,101.93,2423
36,2022-10-05,17:00:00,102.22,102.34,101.82,101.96,632593
37,2022-10-05,16:00:00,102.12,102.74,101.98,102.22,4034826
38,2022-10-05,15:00:00,101.41,102.16,101.35,102.12,1538999
39,2022-10-05,14:00:00,101.21,101.9,101.16,101.41,1591570
40,2022-10-05,13:00:00,100.45,101.43,100.19,101.205,1817163
41,2022-10-05,12:00:00,99.85,100.44,99.8101,100.43,2081878
42,2022-10-05,11:00:00,100.7,100.7,99.74,99.87,2900202
43,2022-10-05,10:00:00,101.09,101.27,100.36,100.7101,2535353
44,2022-10-05,09:00:00,101.53,101.59,101.08,101.09,37595
45,2022-10-05,08:00:00,101.64,101.64,101.27,101.3,9117
46,2022-10-05,07:00:00,101.48,101.64,101.48,101.63,942
47,2022-10-05,06:00:00,101.55,101.62,101.22,101.22,1004
48,2022-10-05,05:00:00,101.7,101.7,101.02,101.5,6481
49,2022-10-04,20:00:00,102.4,102.4,102.1,102.15,4618
50,2022-10-04,19:00:00,102.36,102.45,102.25,102.26,6852
51,2022-10-04,18:00:00,102.4456,102.4953,102.38,102.4899,4382
52,2022-10-04,17:00:00,102.41,102.54,102.12,102.44,976582
53,2022-10-04,16:00:00,102.6,102.63,101.97,102.46,3975236
54,2022-10-04,15:00:00,102.23,102.72,101.99,102.595,1599925
55,2022-10-04,14:00:00,102.03,102.33,101.43,102.22,1659162
56,2022-10-04,13:00:00,102.16,102.55,101.92,102.04,1621121
57,2022-10-04,12:00:00,102.62,102.64,101.8,102.16,2149726
58,2022-10-04,11:00:00,102.01,102.645,101.905,102.62,3528991
59,2022-10-04,10:00:00,101.05,102.23,100.7,102.005,3566367
60,2022-10-04,09:00:00,100.978,101.1,100.6,101.0,81726
61,2022-10-04,08:00:00,101.07,101.07,100.83,100.9,37703
62,2022-10-04,07:00:00,101.26,101.35,101.15,101.2,7695
63,2022-10-04,06:00:00,100.9,101.34,100.69,101.34,6022
64,2022-10-04,05:00:00,99.95,100.98,99.95,100.9,9410
65,2022-10-03,20:00:00,99.24,99.9,99.24,99.75,11543
66,2022-10-03,19:00:00,99.43,99.57,99.21,99.3,10609
67,2022-10-03,18:00:00,99.41,99.42,99.3,99.42,17013
68,2022-10-03,17:00:00,99.3,99.66,99.16,99.3,1585207
69,2022-10-03,16:00:00,99.645,99.97,99.0519,99.29,4347188
70,2022-10-03,15:00:00,99.2671,99.79,97.44,99.64,2174356
71,2022-10-03,14:00:00,98.83,99.43,98.81,99.27,1670395
