,date,time_interval,open,high,low,close,volume
1,2022-11-08,20:00:00,96.9,96.95,96.63,96.85,34505
2,2022-11-08,19:00:00,96.7,96.93,96.62,96.9,22664
3,2022-11-08,18:00:00,96.8,96.94,96.6,96.6814,52776
4,2022-11-08,17:00:00,96.47,96.85,96.36,96.85,1553776
5,2022-11-08,16:00:00,95.485,96.9,95.42,96.48,7337569
6,2022-11-08,15:00:00,96.01,96.33,94.79,95.49,6543176
7,2022-11-08,14:00:00,97.41,97.8,95.89,96.02,6561207
8,2022-11-08,13:00:00,95.815,97.57,95.815,97.4,6043764
9,2022-11-08,12:00:00,95.42,96.5,95.38,95.82,5380445
10,2022-11-08,11:00:00,95.505,96.15,95.01,95.42,8047148
11,2022-11-08,10:00:00,96.59,97.14,95.34,95.5,7422492
12,2022-11-08,09:00:00,96.45,96.8435,95.6,96.565,274807
13,2022-11-08,08:00:00,96.76,96.8,96.27,96.48,87334
14,2022-11-08,07:00:00,96.25,96.82,96.23,96.75,26585
15,2022-11-08,06:00:00,96.4,96.89,96.28,96.28,17326
16,2022-11-08,05:00:00,96.4,96.53,96.02,96.39,41629
17,2022-11-07,20:00:00,96.75,97.09,96.74,97.09,105182
18,2022-11-07,19:00:00,96.67,96.77,96.59,96.77,41570
19,2022-11-07,18:00:00,96.59,96.72,96.54,96.69,92564
20,2022-11-07,17:00:00,96.73,96.85,96.52,96.58,1593682
21,2022-11-07,16:00:00,95.64,96.84,95.5901,96.735,10109166
22,2022-11-07,15:00:00,94.9818,95.94,94.91,95.63,6388394
23,2022-11-07,14:00:00,94.68,95.86,94.6657,94.9816,7407552
24,2022-11-07,13:00:00,95.205,95.5,94.3001,94.69,7734285
25,2022-11-07,12:00:00,96.83,96.88,95.16,95.205,10079778
26,2022-11-07,11:00:00,95.18,96.85,95.02,96.83,17037251
27,2022-11-07,10:00:00,93.74,95.88,93.1,95.19,17593922
28,2022-11-07,09:00:00,93.6118,93.86,90.564,93.73,819324
29,2022-11-07,08:00:00,93.85,93.9,93.12,93.43,424813
30,2022-11-07,07:00:00,94.26,94.4,93.6,93.9,140191
31,2022-11-07,06:00:00,93.7,94.6,93.35,94.26,129003
32,2022-11-07,05:00:00,91.54,93.93,91.23,93.65,238512
33,2022-11-04,20:00:00,90.81,90.81,90.63,90.65,29017
34,2022-11-04,19:00:00,90.77,90.81,90.66,90.8,31119
35,2022-11-04,18:00:00,90.7499,90.8,90.7208,90.74,36076
36,2022-11-04,17:00:00,90.79,90.88,90.68,90.78,3215446
37,2022-11-04,16:00:00,90.25,90.8778,90.13,90.84,9087040
38,2022-11-04,15:00:00,89.26,90.33,88.73,90.2415,5296167
39,2022-11-04,14:00:00,88.98,89.67,88.65,89.265,4802844
40,2022-11-04,13:00:00,88.355,89.4,88.09,88.99,4597822
41,2022-11-04,12:00:00,89.43,89.6,88.2,88.36,6183862
42,2022-11-04,11:00:00,89.66,90.52,89.035,89.425,9225354
43,2022-11-04,10:00:00,90.14,91.39,88.33,89.6783,9828760
44,2022-11-04,09:00:00,89.75,90.25,88.688,90.08,610604
45,2022-11-04,08:00:00,89.82,89.87,89.61,89.75,60065
46,2022-11-04,07:00:00,89.89,89.96,89.61,89.81,19560
47,2022-11-04,06:00:00,89.64,90.09,89.6,89.89,44491
48,2022-11-04,05:00:00,88.3,89.8,88.3,89.68,26129
49,2022-11-03,20:00:00,88.8,88.9,88.7,88.79,75948
50,2022-11-03,19:00:00,88.86,88.98,88.74,88.76,57865
51,2022-11-03,18:00:00,88.81,88.98,88.75,88.83,46179
52,2022-11-03,17:00:00,88.91,89.08,88.73,88.85,1706349
53,2022-11-03,16:00:00,89.64,89.97,88.775,88.9,9132459
54,2022-11-03,15:00:00,89.55,89.727,89.23,89.645,4413896
55,2022-11-03,14:00:00,90.17,90.29,89.05,89.5465,5581908
56,2022-11-03,13:00:00,88.54,90.4576,88.46,90.17,7637802
57,2022-11-03,12:00:00,89.98,90.15,88.51,88.54,7093409
58,2022-11-03,11:00:00,88.8,90.14,88.41,89.9799,12278545
59,2022-11-03,10:00:00,90.08,90.4915,88.68,88.7925,10172478
60,2022-11-03,09:00:00,90.66,91.94,90.0,90.08,299423
61,2022-11-03,08:00:00,90.55,90.57,90.01,90.3,106617
