,date,time_interval,open,high,low,close,volume
1,2023-01-06,20:00:00,315.3,315.48,315.15,315.2,8634
2,2023-01-06,18:00:00,315.4,315.65,315.2,315.2,65333
3,2023-01-06,17:00:00,315.55,315.6989,315.16,315.47,79780
4,2023-01-06,16:00:00,316.15,316.77,313.74,315.51,1671114
5,2023-01-06,15:00:00,314.13,316.4,314.02,316.0923,952770
6,2023-01-06,14:00:00,311.295,314.44,311.295,314.05,829535
7,2023-01-06,13:00:00,310.46,312.47,310.2501,311.35,776949
8,2023-01-06,12:00:00,309.3475,310.915,308.15,310.3693,839686
9,2023-01-06,11:00:00,304.19,310.15,303.7136,309.24,1680144
10,2023-01-06,10:00:00,314.37,314.42,303.69,304.055,1530498
11,2023-01-06,09:00:00,308.2001,316.64,308.2,314.35,91718
12,2023-01-06,08:00:00,308.74,308.8,308.6,308.8,4258
13,2023-01-06,07:00:00,308.6,308.6,308.6,308.6,355
14,2023-01-06,06:00:00,308.8,308.8,308.0,308.0,749
15,2023-01-06,05:00:00,309.38,309.38,307.19,308.0,1042
16,2023-01-05,20:00:00,309.89,310.4,309.89,310.25,1736
17,2023-01-05,19:00:00,309.47,309.47,309.47,309.47,500
18,2023-01-05,18:00:00,309.5,309.53,309.38,309.5,2181
19,2023-01-05,17:00:00,309.7,310.4114,309.4183,309.4183,51358
20,2023-01-05,16:00:00,311.49,311.67,308.88,309.65,1149421
21,2023-01-05,15:00:00,310.6956,313.2,310.38,311.535,599596
22,2023-01-05,14:00:00,308.75,312.59,308.28,310.66,902051
23,2023-01-05,13:00:00,311.38,312.1,308.66,309.04,623051
24,2023-01-05,12:00:00,311.12,314.18,310.17,311.56,1295399
25,2023-01-05,11:00:00,309.84,312.86,308.31,311.24,2169005
26,2023-01-05,10:00:00,306.3046,310.2299,304.545,309.7681,1110220
27,2023-01-05,09:00:00,308.2831,309.62,305.99,306.11,44684
28,2023-01-05,08:00:00,309.1,310.0,308.5,309.4,6691
29,2023-01-05,06:00:00,308.75,309.41,308.75,309.41,825
30,2023-01-04,20:00:00,309.05,309.41,308.72,309.41,7259
31,2023-01-04,19:00:00,309.5,309.5,309.0,309.25,3976
32,2023-01-04,18:00:00,309.1252,309.69,309.1216,309.6,3691
33,2023-01-04,17:00:00,309.41,309.73,308.72,309.6697,93929
34,2023-01-04,16:00:00,309.75,311.135,307.14,309.48,1763913
35,2023-01-04,15:00:00,305.7832,310.05,304.2,309.86,1450467
36,2023-01-04,14:00:00,305.35,306.84,304.37,305.9972,516394
37,2023-01-04,13:00:00,306.79,308.18,305.3267,305.38,779650
38,2023-01-04,12:00:00,305.32,308.07,304.5101,306.64,1503691
39,2023-01-04,11:00:00,300.9,305.38,297.53,305.38,1677609
40,2023-01-04,10:00:00,297.5,301.48,295.51,300.8676,1083003
41,2023-01-04,09:00:00,297.3,298.5,296.3,297.3,21170
42,2023-01-04,08:00:00,297.55,297.55,296.6,296.6,3195
43,2023-01-04,05:00:00,296.45,297.6,296.42,297.5,1481
44,2023-01-03,20:00:00,294.73,294.78,294.51,294.51,4656
45,2023-01-03,19:00:00,294.85,294.85,294.52,294.79,5613
46,2023-01-03,18:00:00,294.95,294.95,294.82,294.85,909
47,2023-01-03,17:00:00,294.95,295.03,294.51,295.03,164711
48,2023-01-03,16:00:00,296.13,297.34,294.82,294.9,1292373
49,2023-01-03,15:00:00,294.84,296.99,293.53,296.0955,730231
50,2023-01-03,14:00:00,292.72,295.22,292.21,294.7375,530628
51,2023-01-03,13:00:00,292.4,294.24,291.7,292.75,599664
52,2023-01-03,12:00:00,291.45,292.73,290.41,292.4,663488
53,2023-01-03,11:00:00,291.43,292.55,288.7,291.42,1025178
54,2023-01-03,10:00:00,297.82,298.39,290.69,291.5,1272622
55,2023-01-03,09:00:00,296.4,298.49,295.55,297.5,18082
56,2023-01-03,08:00:00,296.5,298.0,296.0,297.23,10367
57,2023-01-03,07:00:00,296.0,296.42,296.0,296.42,1156
58,2023-01-03,06:00:00,299.3,299.3,299.3,299.3,585
59,2023-01-03,05:00:00,297.24,299.89,297.24,299.89,1323
60,2022-12-30,20:00:00,295.55,295.85,295.0,295.63,6280
61,2022-12-30,19:00:00,295.62,295.7,295.55,295.55,1292
62,2022-12-30,18:00:00,295.01,295.49,294.93,295.49,7310
63,2022-12-30,17:00:00,294.88,295.25,294.6,295.0,177770
64,2022-12-30,16:00:00,291.56,295.01,291.55,294.81,1496493
65,2022-12-30,15:00:00,290.498,291.87,289.83,291.57,659781
66,2022-12-30,14:00:00,291.4,291.53,289.38,290.49,651670
67,2022-12-30,13:00:00,290.8745,292.04,290.2,291.3,708005
68,2022-12-30,12:00:00,289.21,291.7544,288.89,290.925,953046
69,2022-12-30,11:00:00,286.755,290.44,284.27,289.14,1200364
70,2022-12-30,10:00:00,286.88,287.58,283.22,286.83,1179380
71,2022-12-30,09:00:00,287.8,291.76,286.3,286.41,32845
