,time,open,high,low,close,volume
1,2023-01-05 20:00:00,125.2500,125.2500,125.2500,125.2500,1932
2,2023-01-05 19:59:00,125.1900,125.2500,125.1800,125.2500,4357
3,2023-01-05 19:58:00,125.1999,125.2000,125.1800,125.1800,1256
4,2023-01-05 19:57:00,125.2000,125.2000,125.1900,125.1900,1143
5,2023-01-05 19:56:00,125.2000,125.2000,125.1900,125.2000,1380
6,2023-01-05 19:55:00,125.1600,125.2100,125.1600,125.2100,1350
7,2023-01-05 19:54:00,125.1800,125.2100,125.1500,125.2100,1586
8,2023-01-05 19:53:00,125.2000,125.2000,125.1900,125.1900,467
9,2023-01-05 19:52:00,125.1900,125.2100,125.1900,125.2100,1711
10,2023-01-05 19:51:00,125.2000,125.2000,125.2000,125.2000,759
11,2023-01-05 19:50:00,125.1600,125.1900,125.1600,125.1900,1672
12,2023-01-05 19:48:00,125.1900,125.2000,125.1900,125.2000,2498
13,2023-01-05 19:47:00,125.2000,125.2000,125.2000,125.2000,379
14,2023-01-05 19:45:00,125.1700,125.1700,125.1600,125.1600,587
15,2023-01-05 19:43:00,125.1900,125.1900,125.1900,125.1900,730
16,2023-01-05 19:42:00,125.2000,125.2000,125.2000,125.2000,270
17,2023-01-05 19:41:00,125.2100,125.2100,125.1900,125.2000,848
18,2023-01-05 19:39:00,125.2000,125.2000,125.2000,125.2000,260
19,2023-01-05 19:37:00,125.2400,125.2400,125.2300,125.2300,1171
20,2023-01-05 19:35:00,125.2500,125.2500,125.2500,125.2500,354
21,2023-01-05 19:34:00,125.2100,125.2500,125.1700,125.2500,1685
22,2023-01-05 19:32:00,125.1800,125.2000,125.1800,125.2000,1013
23,2023-01-05 19:31:00,125.1800,125.1800,125.1800,125.1800,1386
24,2023-01-05 19:30:00,125.1400,125.1400,125.1400,125.1400,514
25,2023-01-05 19:29:00,125.1700,125.1700,125.1700,125.1700,1253
26,2023-01-05 19:28:00,125.1400,125.1500,125.1400,125.1500,700
27,2023-01-05 19:27:00,125.1200,125.1200,125.1200,125.1200,415
28,2023-01-05 19:26:00,125.1300,125.1300,125.1300,125.1300,547
29,2023-01-05 19:25:00,125.1300,125.1700,125.1300,125.1700,483
30,2023-01-05 19:24:00,125.1300,125.1700,125.1300,125.1300,1836
31,2023-01-05 19:23:00,125.1500,125.1600,125.1500,125.1600,1241
32,2023-01-05 19:22:00,125.1500,125.1500,125.1500,125.1500,379
33,2023-01-05 19:19:00,125.1400,125.1400,125.1200,125.1300,1098
34,2023-01-05 19:17:00,125.1600,125.1600,125.1300,125.1300,1170
35,2023-01-05 19:15:00,125.1500,125.1500,125.1500,125.1500,158
36,2023-01-05 19:14:00,125.1600,125.1600,125.1300,125.1300,671
37,2023-01-05 19:11:00,125.2100,125.2300,125.1800,125.2000,979
38,2023-01-05 19:10:00,125.1900,125.2000,125.1700,125.1700,3990
39,2023-01-05 19:09:00,125.1600,125.1600,125.1600,125.1600,217
40,2023-01-05 19:08:00,125.1700,125.1900,125.1700,125.1900,662
41,2023-01-05 19:05:00,125.1700,125.1700,125.1700,125.1700,125
42,2023-01-05 19:04:00,125.1600,125.1700,125.1600,125.1700,806
43,2023-01-05 19:03:00,125.1700,125.1700,125.1700,125.1700,499
44,2023-01-05 19:00:00,125.1400,125.1700,125.1300,125.1700,1081
45,2023-01-05 18:59:00,125.1500,125.1800,125.1500,125.1800,1995
46,2023-01-05 18:58:00,125.1200,125.1800,125.1200,125.1800,1007
47,2023-01-05 18:57:00,125.1500,125.1700,125.1300,125.1300,1800
48,2023-01-05 18:56:00,125.1400,125.1700,125.1400,125.1698,1200
49,2023-01-05 18:55:00,125.1400,125.1400,125.1300,125.1400,1226
50,2023-01-05 18:54:00,125.1400,125.1400,125.1400,125.1400,239
51,2023-01-05 18:52:00,125.1200,125.1200,125.1200,125.1200,289
52,2023-01-05 18:50:00,125.1201,125.1201,125.1201,125.1201,1097
53,2023-01-05 18:49:00,125.1800,125.1800,125.1500,125.1500,1221
54,2023-01-05 18:48:00,125.1100,125.1500,125.1100,125.1500,1836
55,2023-01-05 18:46:00,125.1600,125.1600,125.1200,125.1200,1309
56,2023-01-05 18:45:00,124.9700,125.1800,124.9700,125.1800,4821
57,2023-01-05 18:44:00,124.9300,124.9800,124.9200,124.9200,5740
58,2023-01-05 18:43:00,124.9700,124.9700,124.8000,124.8700,12651
59,2023-01-05 18:42:00,125.1100,125.1100,125.0000,125.0000,33972
60,2023-01-05 18:40:00,125.1200,125.1200,125.1200,125.1200,269
61,2023-01-05 18:39:00,125.1600,125.1600,125.1200,125.1200,743
62,2023-01-05 18:38:00,125.1300,125.1300,125.1300,125.1300,134
63,2023-01-05 18:36:00,125.1300,125.1300,125.1300,125.1300,247
64,2023-01-05 18:35:00,125.1600,125.1700,125.1600,125.1600,618
65,2023-01-05 18:33:00,125.1200,125.1200,125.1200,125.1200,541
66,2023-01-05 18:32:00,125.1400,125.1400,125.1400,125.1400,693
67,2023-01-05 18:31:00,125.1400,125.1400,125.1400,125.1400,130
68,2023-01-05 18:30:00,125.1300,125.1300,125.1300,125.1300,1724
69,2023-01-05 18:29:00,125.1400,125.1400,125.1300,125.1300,1230
70,2023-01-05 18:26:00,125.1200,125.1200,125.1200,125.1200,623
71,2023-01-05 18:25:00,125.1400,125.1400,125.1100,125.1100,691
72,2023-01-05 18:24:00,125.1500,125.1500,125.1500,125.1500,688
73,2023-01-05 18:23:00,125.1400,125.1400,125.1400,125.1400,464
74,2023-01-05 18:21:00,125.1600,125.1600,125.1500,125.1500,694
75,2023-01-05 18:14:00,125.1400,125.1400,125.1400,125.1400,202
76,2023-01-05 18:13:00,125.1000,125.1000,125.1000,125.1000,399
77,2023-01-05 18:10:00,125.1200,125.1200,125.1200,125.1200,606
78,2023-01-05 18:09:00,125.1500,125.1500,125.1000,125.1000,334
79,2023-01-05 18:08:00,125.1000,125.1200,125.1000,125.1200,476
80,2023-01-05 18:06:00,125.1400,125.1400,125.1200,125.1200,696
81,2023-01-05 18:04:00,125.1200,125.1200,125.1100,125.1100,495
82,2023-01-05 18:03:00,125.2000,125.2000,125.2000,125.2000,328
83,2023-01-05 18:02:00,125.2000,125.2000,125.2000,125.2000,593
84,2023-01-05 18:01:00,125.1300,125.2300,125.1300,125.2300,3792
85,2023-01-05 18:00:00,125.1400,125.1400,125.0900,125.1000,829
86,2023-01-05 17:58:00,125.1400,125.1400,125.1000,125.1000,822
87,2023-01-05 17:57:00,125.1300,125.1300,125.1000,125.1300,2099
88,2023-01-05 17:56:00,125.1001,125.1001,125.1000,125.1000,295
89,2023-01-05 17:55:00,125.1000,125.1400,125.1000,125.1400,662
90,2023-01-05 17:54:00,125.1400,125.1400,125.1000,125.1000,2226
91,2023-01-05 17:53:00,125.1400,125.1400,125.1400,125.1400,172
92,2023-01-05 17:51:00,125.1100,125.1400,125.1100,125.1400,2844
93,2023-01-05 17:49:00,125.1000,125.1200,125.0700,125.1000,6136
94,2023-01-05 17:48:00,125.1200,125.1200,125.0700,125.0700,1318
95,2023-01-05 17:46:00,125.1000,125.1000,125.0800,125.0800,1038
96,2023-01-05 17:45:00,125.0982,125.0982,125.0800,125.0800,1376
97,2023-01-05 17:44:00,125.0800,125.0800,125.0800,125.0800,497
98,2023-01-05 17:43:00,125.0989,125.0989,125.0800,125.0800,1147
99,2023-01-05 17:42:00,125.0600,125.0600,125.0600,125.0600,139
100,2023-01-05 17:41:00,125.1200,125.1200,125.1200,125.1200,370
